"timestamp","mmsi","lon","lat","sog","cog","heading"
"2018-03-19 07:00:45.693","230981750","21.5717016666667","63.0809033333333","0.1","149.3",24
"2018-03-19 07:00:45.697","230011590","24.5572366666667","65.04056","0.0","214.1",352
"2018-03-19 07:00:45.706","305188000","21.4675316666667","61.2532866666667","5.5","104.0",99
"2018-03-19 07:00:45.712","230070870","24.5144283333333","65.66508","0.0","300.5",254
"2018-03-19 07:00:45.716","230071310","27.696925","62.89179","0.0","250.2",511
"2018-03-19 07:00:55.817","230343000","25.4273066666667","65.0055516666667","0.1","183.5",227
"2018-03-19 07:00:55.836","245170000","21.0970983333333","62.2260316666667","0.2","333.0",258
"2018-03-19 07:00:58.042","230356000","21.5711666666667","63.0811666666667","0.0","332.0",27
"2018-03-19 07:01:00.097","230091500","22.6886616666667","63.7105333333333","0.0","269.7",332
"2018-03-19 07:01:01.783","212123000","19.832365","63.0029983333333","12.1","206.2",209
"2018-03-19 07:01:08.255","245241000","22.6910816666667","63.7141766666667","0.0","25.8",174
"2018-03-19 07:01:14.954","210521000","21.4316883333333","61.1307","0.1","300.7",79
"2018-03-19 07:01:16.173","230941170","21.4474166666667","61.1306133333333","0.0","0.0",511
"2018-03-19 07:01:21.863","230990040","24.51798","65.660815","0.0","49.8",43
"2018-03-19 07:01:21.868","246371000","24.1554283333333","65.7554233333333","0.0","207.3",74
"2018-03-19 07:01:21.878","230941690","21.44905","61.132335","0.0","238.5",511
"2018-03-19 07:01:21.881","245237000","19.58165","62.6919833333333","12.6","33.9",33
"2018-03-19 07:01:21.902","373437000","23.0316166666667","63.86315","0.0","355.0",299
"2018-03-19 07:01:23.033","230108490","25.195345","65.0088933333333","0.0","260.0",110
"2018-03-19 07:01:25.09","230011590","24.557235","65.0405616666667","0.0","191.7",352
"2018-03-19 07:01:26.771","230252000","22.9238533333333","63.9578483333333","0.0","339.5",70
"2018-03-19 07:01:29.213","266435000","20.1638983333333","61.290365","12.5","149.1",150
"2018-03-19 07:01:29.218","230282000","21.4784516666667","61.595625","0.0","302.3",283
"2018-03-19 07:01:30.806","230006760","22.68815","63.7118166666667","0.0","189.7",346
"2018-03-19 07:01:30.836","305264000","24.15697","65.7519116666667","0.2","1.4",27
"2018-03-19 07:01:30.837","230980260","24.4158466666667","64.6594033333333","0.0","0.0",18
"2018-03-19 07:01:30.87","230065310","23.69321","64.2211016666667","0.0","311.8",319
"2018-03-19 07:01:30.874","230115340","21.4642516666667","61.5940866666667","0.0","240.0",264
"2018-03-19 07:01:30.876","230052840","28.3860283333333","61.6087883333333","0.0","3.0",3
"2018-03-19 07:01:30.88","230931000","21.3751816666667","61.2708733333333","9.8","295.4",292
"2018-03-19 07:01:30.902","305961000","24.2201166666667","65.4361666666667","0.0","35.0",35
"2018-03-19 07:01:30.904","230025470","21.5718016666667","63.0814433333333","0.0","346.4",511
"2018-03-19 07:01:32.677","230987160","24.4066666666667","64.6666666666667","0.0","343.0",94
"2018-03-19 07:01:32.678","230337000","25.4280716666667","65.00594","0.0","0.0",511
"2018-03-19 07:01:32.679","245717000","19.8874383333333","62.2526233333333","10.9","269.9",271
"2018-03-19 07:01:32.695","230025040","21.448855","61.13223","0.0","35.0",308
"2018-03-19 07:01:32.696","304010253","21.44328","61.1265116666667","0.1","76.4",256
"2018-03-19 07:01:33.714","230111210","24.4063416666667","64.6667416666667","0.0","261.4",511
"2018-03-19 07:01:33.723","246629000","22.0053333333333","63.9333333333333","5.4","44.3",43
"2018-03-19 07:01:33.744","230981050","25.0687216666667","65.0373233333333","0.3","221.5",303
"2018-03-19 07:01:33.761","230981750","21.5717033333333","63.0809066666667","0.0","125.4",23
"2018-03-19 07:01:33.764","230601000","22.875845","64.5135583333333","8.5","211.9",212
"2018-03-19 07:01:33.766","230289000","22.8749766666667","64.5129216666667","8.4","212.9",214
"2018-03-19 07:01:33.771","276776000","21.4427883333333","61.1262616666667","0.1","68.8",345
"2018-03-19 07:01:35.675","305463000","22.8841166666667","64.51953","6.6","206.2",208
"2018-03-19 07:01:35.676","230068740","28.94452","61.8441116666667","0.0","233.8",176
"2018-03-19 07:01:35.681","230003110","24.4064833333333","64.6663333333333","0.0","190.7",103
